nota_url,nota_titulo,nota_fecha_disponible
https://www.lanacion.com.ar/agencias/durant-y-harris-llevan-a-nets-a-victoria-sobre-hornets-nid17042021/,Durant y Harris llevan a Nets a victoria sobre Hornets,2021-04-17T00:07:09
https://www.lanacion.com.ar/agencias/stormy-daniels-testifica-en-juicio-de-abogado-avenatti-nid27012022/,Stormy Daniels testifica en juicio de abogado Avenatti,2022-01-27T18:47:36
https://www.lanacion.com.ar/agencias/galtier-comparece-en-juicio-tras-acusaciones-de-racismo-cuando-estuvo-al-frente-del-niza-nid15122023/,Galtier comparece en juicio tras acusaciones de racismo cuando estuvo al frente del Niza,2023-12-15T16:01:25
https://www.lanacion.com.ar/agencias/la-comision-de-valores-presenta-el-primer-festival-de-tecnologia-financiera-d3-bahamas-nid20102022/,La Comisión de Valores presenta el primer festival de tecnología financiera: D3 Bahamas,2022-10-20T21:38:27
https://www.lanacion.com.ar/agencias/argentina-empata-con-uruguay-y-avanza-como-lider-de-grupo-en-preolimpico-sudamericano-nid02022024/,Argentina empata con Uruguay y avanza como líder de grupo en Preolímpico Sudamericano,2024-02-02T22:50:57
https://www.lanacion.com.ar/agencias/mccollum-y-los-pelicans-aplastan-a-unos-apagados-lakers-nid28022022/,McCollum y los Pelicans aplastan a unos apagados Lakers,2022-02-28T05:53:38
https://www.lanacion.com.ar/agencias/al-compas-de-bellingham-el-real-madrid-busca-hilar-una-3ra-victoria-en-la-liga-nid24082023/,"Al compás de Bellingham, el Real Madrid busca hilar una 3ra victoria en la Liga",2023-08-24T19:40:41
https://www.lanacion.com.ar/agencias/eurocopa-austria-elimina-a-noruega-y-enfrentara-a-alemania-nid15072022/,Eurocopa: Austria elimina a Noruega y enfrentará a Alemania,2022-07-15T20:59:37
https://www.lanacion.com.ar/agencias/lgbti-apuestan-a-ganar-espacios-en-las-elecciones-en-mexico-nid02062021/,LGBTI apuestan a ganar espacios en las elecciones en México,2021-06-02T17:37:24
https://www.lanacion.com.ar/agencias/peru-interroga-a-fujimori-a-solicitud-de-chile-que-decidira-si-autoriza-juicio-por-esterilizaciones-nid19052023/,Perú interroga a Fujimori a solicitud de Chile que decidirá si autoriza juicio por esterilizaciones,2023-05-19T14:10:53
https://www.lanacion.com.ar/agencias/steven-gerrard-sera-el-tecnico-de-al-ettifaq-en-la-liga-saudi-nid03072023/,Steven Gerrard será el técnico de Al-Ettifaq en la liga saudí,2023-07-03T15:50:32
https://www.lanacion.com.ar/agencias/pakistan-moviliza-mas-medicos-por-enfermedades-tras-crecidas-nid23092022/,Pakistán moviliza más médicos por enfermedades tras crecidas,2022-09-23T08:08:19
https://www.lanacion.com.ar/agencias/wemade-agrega-actualizaciones-mas-dramaticas-a-su-obra-maestra-mir4-nid16112021/,Wemade agrega actualizaciones más dramáticas a su obra maestra ‘MIR4’,2021-11-16T00:37:47
https://www.lanacion.com.ar/agencias/nuevas-normas-permiten-desarrollar-embriones-por-mas-tiempo-nid26052021/,Nuevas normas permiten desarrollar embriones por más tiempo,2021-05-26T14:08:15
https://www.lanacion.com.ar/agencias/levante-barcelona-abren-antepenultima-fecha-de-liga-espanola-nid10052021/,Levante-Barcelona abren antepenúltima fecha de liga española,2021-05-10T16:52:20
https://www.lanacion.com.ar/agencias/cruz-azul-busca-sacudirse-los-fantasmas-del-pasado-nid21052021/,Cruz Azul busca sacudirse los fantasmas del pasado,2021-05-21T14:22:23
https://www.lanacion.com.ar/agencias/analizan-pedido-de-prohibir-salir-de-peru-a-director-repsol-nid27012022/,Analizan pedido de prohibir salir de Perú a director Repsol,2022-01-27T13:05:38
https://www.lanacion.com.ar/agencias/opositora-dice-que-conservadores-britanicos-son-escoria-nid26092021/,Opositora dice que conservadores británicos son “escoria”,2021-09-26T11:42:01
https://www.lanacion.com.ar/agencias/suns-hilvanan-14-triunfos-al-vencer-120-115-a-cavaliers-nid25112021/,Suns hilvanan 14 triunfos al vencer 120-115 a Cavaliers,2021-11-25T00:22:50
https://www.lanacion.com.ar/agencias/mtv-los-ema-contrarrestaran-ley-antigay-de-hungria-nid19102021/,MTV: los EMA contrarrestarán ley antigay de Hungría,2021-10-19T12:52:57
https://www.lanacion.com.ar/agencias/cocaleros-retoman-control-del-mercado-de-la-coca-en-bolivia-nid04102021/,Cocaleros retoman control del mercado de la coca en Bolivia,2021-10-04T20:37:53
https://www.lanacion.com.ar/agencias/cardinals-evitan-un-susto-y-vencen-31-19-a-jaguars-nid26092021/,Cardinals evitan un susto y vencen 31-19 a Jaguars,2021-09-26T18:01:49
https://www.lanacion.com.ar/agencias/tigres-vence-a-chivas-y-se-coloca-4to-en-mexico-nid13022022/,Tigres vence a Chivas y se coloca 4to en México,2022-02-13T00:37:49
https://www.lanacion.com.ar/agencias/suben-a-47-los-muertos-en-una-gelida-riada-en-el-noreste-del-himalaya-indio-nid07102023/,Suben a 47 los muertos en una gélida riada en el noreste del Himalaya indio,2023-10-07T06:10:52
https://www.lanacion.com.ar/agencias/clubhouse-se-cruza-con-masterclass-la-aplicacion-wisdom-lanza-la-plataforma-de-mentoria-mas-nid15102021/,¡Clubhouse se cruza con Masterclass! La aplicación Wisdom lanza la plataforma de mentoría más importante del mundo a través del audio social,2021-10-15T00:52:32
https://www.lanacion.com.ar/agencias/wainwright-seguira-con-cardenales-por-otro-ano-nid02102021/,Wainwright seguirá con Cardenales por otro año,2021-10-02T00:37:31
https://www.lanacion.com.ar/agencias/hazard-mbappe-y-haaland-brillan-benzema-se-lesiona-nid06092022/,"Hazard, Mbappé y Haaland brillan; Benzema se lesiona",2022-09-06T20:23:07
https://www.lanacion.com.ar/agencias/advierten-que-reciente-ola-de-calor-amenaza-glaciares-suizos-nid01092023/,Advierten que reciente ola de calor amenaza glaciares suizos,2023-09-01T13:50:47
https://www.lanacion.com.ar/agencias/zelenskyy-arriba-a-un-congreso-adusto-cuando-el-plan-de-biden-para-ucrania-esta-al-borde-del-colapso-nid12122023/,Zelenskyy arriba a un Congreso adusto cuando el plan de Biden para Ucrania está al borde del colapso,2023-12-12T12:31:11
https://www.lanacion.com.ar/agencias/oms-disminuyen-muertes-por-covid-19-en-todo-el-mundo-nid10082022/,OMS: Disminuyen muertes por COVID-19 en todo el mundo,2022-08-10T13:09:17
https://www.lanacion.com.ar/agencias/guiados-por-ball-y-rozier-hornets-ganan-106-103-a-pelicans-nid22032022/,"Guiados por Ball y Rozier, Hornets ganan 106-103 a Pelicans",2022-03-22T00:37:50
https://www.lanacion.com.ar/agencias/miami-familiares-de-desaparecidos-visitan-zona-del-derrumbe-nid28062021/,Miami: Familiares de desaparecidos visitan zona del derrumbe,2021-06-28T00:37:21
https://www.lanacion.com.ar/agencias/la-suprema-corte-de-mexico-avala-polemica-ley-electrica-nid08042022/,La Suprema Corte de México avala polémica ley eléctrica,2022-04-08T00:22:59
https://www.lanacion.com.ar/agencias/rimini-street-nombra-a-un-experimentado-tecnico-como-dt-y-anuncia-un-nuevo-cargo-de-director-general-nid03112021/,Rimini Street nombra a un experimentado técnico como DT y anuncia un nuevo cargo de Director General de Tecnología para ayudar a clientes potenciales y clientes habituales con soluciones innovadoras de software y tecnología empresarial...,2021-11-03T11:30:52
https://www.lanacion.com.ar/agencias/aprueban-ayuda-federal-por-valor-de-56-millones-para-maui-nid18082023/,"Aprueban ayuda federal por valor de 5,6 millones para Maui",2023-08-18T17:10:47
https://www.lanacion.com.ar/agencias/ferrari-selecciona-aws-como-proveedor-oficial-de-nube-para-impulsar-la-innovacion-en-la-carretera-y-nid19062021/,Ferrari selecciona AWS como proveedor oficial de nube para impulsar la innovación en la carretera y en la pista,2021-06-19T11:37:23
https://www.lanacion.com.ar/agencias/la-numero-1-barty-vs-kerber-en-semis-de-wimbledon-nid06072021/,La número 1 Barty vs. Kerber en semis de Wimbledon,2021-07-06T15:37:33
https://www.lanacion.com.ar/agencias/amlo-mexico-se-defendera-en-controversia-con-eeuu-y-canada-nid21072022/,AMLO: México se defenderá en controversia con EEUU y Canadá,2022-07-21T13:49:15
https://www.lanacion.com.ar/agencias/nfl-levanta-restricciones-del-covid-a-jugadores-inmunizados-nid16062021/,NFL levanta restricciones del COVID a jugadores inmunizados,2021-06-16T17:22:34
https://www.lanacion.com.ar/agencias/biden-celebrara-la-paz-e-historia-familiar-en-gira-irlandesa-nid11042023/,Biden celebrará la paz e historia familiar en gira irlandesa,2023-04-11T23:10:30
https://www.lanacion.com.ar/agencias/marruecos-se-une-a-espana-y-portugal-por-mundial-2030-nid14032023/,Marruecos se une a España y Portugal por Mundial 2030,2023-03-14T18:11:01
https://www.lanacion.com.ar/agencias/meghan-presenta-sus-respetos-a-victimas-de-tiroteo-en-texas-nid26052022/,Meghan presenta sus respetos a víctimas de tiroteo en Texas,2022-05-26T21:23:33
https://www.lanacion.com.ar/agencias/andalucia-estudia-mas-regadios-cerca-de-un-preciado-humedal-nid12042023/,Andalucía estudia más regadíos cerca de un preciado humedal,2023-04-12T09:10:53
https://www.lanacion.com.ar/agencias/adebayo-anota-26-heat-aplasta-a-pelicans-nid19012023/,Adebayo anota 26; Heat aplasta a Pelicans,2023-01-19T00:50:42
https://www.lanacion.com.ar/agencias/activistas-urgen-a-organizadores-de-paris-2024-respeten-los-derechos-de-personas-que-viven-la-calle-nid30102023/,Activistas urgen a organizadores de París 2024 respeten los derechos de personas que viven la calle,2023-10-30T12:00:38
https://www.lanacion.com.ar/agencias/gallen-poncha-a-7-y-diamondbacks-vencen-5-1-a-guardianes-nid17062023/,Gallen poncha a 7 y Diamondbacks vencen 5-1 a Guardianes,2023-06-17T02:10:31
https://www.lanacion.com.ar/agencias/jueza-exonera-a-dos-hombres-por-el-asesinato-de-malcolm-x-nid18112021/,Jueza exonera a dos hombres por el asesinato de Malcolm X,2021-11-18T18:53:04
https://www.lanacion.com.ar/agencias/ataque-de-huties-alcanza-buque-de-propiedad-de-eeuu-frente-a-las-costas-de-yemen-nid15012024/,Ataque de hutíes alcanza buque de propiedad de EEUU frente a las costas de Yemen,2024-01-15T18:51:00
